case_id,point,event_index,event_type,spectrum_kind,multiplier_index,real,imag
MC-LC-001,42,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,42,-1,BRANCH,FLOQUET,1,1.55665244952576e-07,0
MC-LC-001,43,-1,BRANCH,FLOQUET,0,0.999999999999997,0
MC-LC-001,43,-1,BRANCH,FLOQUET,1,1.43424597481712e-07,0
MC-LC-001,44,-1,BRANCH,FLOQUET,0,0.999999999999998,0
MC-LC-001,44,-1,BRANCH,FLOQUET,1,1.32119628262675e-07,0
MC-LC-001,45,-1,BRANCH,FLOQUET,0,1.00000000000001,0
MC-LC-001,45,-1,BRANCH,FLOQUET,1,1.21681011984284e-07,0
MC-LC-001,46,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,46,-1,BRANCH,FLOQUET,1,1.12044383915731e-07,0
MC-LC-001,47,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,47,-1,BRANCH,FLOQUET,1,1.0314999866991e-07,0
MC-LC-001,48,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,48,-1,BRANCH,FLOQUET,1,9.49424113974432e-08,0
MC-LC-001,49,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,49,-1,BRANCH,FLOQUET,1,8.73701800140514e-08,0
MC-LC-001,50,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,50,-1,BRANCH,FLOQUET,1,8.03855871454528e-08,0
MC-LC-001,51,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,51,-1,BRANCH,FLOQUET,1,7.39443805511132e-08,0
MC-LC-001,52,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,52,-1,BRANCH,FLOQUET,1,6.80055308611425e-08,0
MC-LC-001,53,-1,BRANCH,FLOQUET,0,0.999999999999999,0
MC-LC-001,53,-1,BRANCH,FLOQUET,1,6.25310055296462e-08,0
MC-LC-001,54,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,54,-1,BRANCH,FLOQUET,1,5.74855579731096e-08,0
MC-LC-001,55,-1,BRANCH,FLOQUET,0,0.999999999999999,0
MC-LC-001,55,-1,BRANCH,FLOQUET,1,5.28365309240305e-08,0
MC-LC-001,56,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,56,-1,BRANCH,FLOQUET,1,4.85536730883037e-08,0
MC-LC-001,57,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,57,-1,BRANCH,FLOQUET,1,4.46089682498538e-08,0
MC-LC-001,58,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,58,-1,BRANCH,FLOQUET,1,4.09764760179703e-08,0
MC-LC-001,59,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,59,-1,BRANCH,FLOQUET,1,3.76321834618139e-08,0
MC-LC-001,60,-1,BRANCH,FLOQUET,0,0.999999999999998,0
MC-LC-001,60,-1,BRANCH,FLOQUET,1,3.4553866922807e-08,0
MC-LC-001,61,-1,BRANCH,FLOQUET,0,0.999999999999998,0
MC-LC-001,61,-1,BRANCH,FLOQUET,1,3.17209633392473e-08,0
MC-LC-001,62,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,62,-1,BRANCH,FLOQUET,1,2.91144504585906e-08,0
MC-LC-001,63,-1,BRANCH,FLOQUET,0,0.999999999999996,0
