case_id,point,phase_fraction,prc,dprc
MC-PRC-001,0,0,-1.13560128348595,0.0427411932405926
MC-PRC-001,1,0.0132809789890718,-1.1295983254882,0.111402523962799
MC-PRC-001,2,0.0265619579781435,-1.11823527719244,0.180349851189298
MC-PRC-001,3,0.0398429369672152,-1.10019274001521,0.254211431876929
MC-PRC-001,4,0.053123915956287,-1.0759995803422,0.328459585927621
MC-PRC-001,5,0.0677685483809814,-1.04562530960574,0.403050067916424
MC-PRC-001,6,0.0824131808056758,-1.00904587166796,0.477869766701459
MC-PRC-001,7,0.0970578132303702,-0.960697196495714,0.561697654697262
MC-PRC-001,8,0.111702445655065,-0.904563697779457,0.645167597655175
MC-PRC-001,9,0.123391675851287,-0.84070348641243,0.727732558087756
MC-PRC-001,10,0.135080906047509,-0.769232443307576,0.808695953093899
MC-PRC-001,11,0.146770136243732,-0.69331979701841,0.884425792908486
MC-PRC-001,12,0.158459366439954,-0.610751830956846,0.957010873171116
MC-PRC-001,13,0.169755702088049,-0.521853876230952,1.02547367225526
MC-PRC-001,14,0.181052037736143,-0.427042806972102,1.08875154021794
MC-PRC-001,15,0.192348373384238,-0.325245032025868,1.14654540957378
MC-PRC-001,16,0.203644709032332,-0.218528194498071,1.19662151342516
MC-PRC-001,17,0.215310731793864,-0.1076501304335,1.23776662828781
MC-PRC-001,18,0.226976754555396,0.00652220626615834,1.26880164584746
MC-PRC-001,19,0.238642777316928,0.00652220626613284,1.26880164584748
MC-PRC-001,20,0.25030880007846,0.113312101949594,1.28743006591489
MC-PRC-001,21,0.263065229358712,0.221235809180763,1.29584695637547
MC-PRC-001,22,0.275821658638963,0.32941224939316,1.29338161765378
MC-PRC-001,23,0.288578087919214,0.436909427925509,1.27948860892059
MC-PRC-001,24,0.301334517199466,0.553490236838032,1.25044727466096
MC-PRC-001,25,0.312891108353277,0.666721746876222,1.20672631645248
MC-PRC-001,26,0.324447699507088,0.775249478333281,1.14828808280485
MC-PRC-001,27,0.336004290660899,0.877728291226787,1.07537614393391
MC-PRC-001,28,0.34756088181471,0.954305223912992,1.00713906148216
MC-PRC-001,29,0.358252452405399,1.02555248874241,0.930419220057895
MC-PRC-001,30,0.368944022996087,1.09086534177329,0.845735155788109
MC-PRC-001,31,0.379635593586776,1.14968118577878,0.753715023552294
MC-PRC-001,32,0.390327164177465,1.19986440995633,0.658503640296485
MC-PRC-001,33,0.401115581063308,1.24308813667346,0.557866091757504
MC-PRC-001,34,0.411903997949151,1.27899568772163,0.452616808393155
MC-PRC-001,35,0.422692414834994,1.30729043833122,0.343631382461747
MC-PRC-001,36,0.433480831720837,1.32827399506631,0.22813979593017
MC-PRC-001,37,0.446457229296248,1.34070908604155,0.110710161639478
MC-PRC-001,38,0.459433626871659,1.34449328480782,-0.0075726036231933
MC-PRC-001,39,0.47241002444707,1.33960414807055,-0.12561426223149
MC-PRC-001,40,0.485386422022481,1.32440089050316,-0.253130298900951
MC-PRC-001,41,0.496172120723549,1.29908119616209,-0.377669478009627
MC-PRC-001,42,0.506957819424617,1.26393742893293,-0.497901061398328
MC-PRC-001,43,0.517743518125685,1.21936556319318,-0.612574612010547
MC-PRC-001,44,0.528529216826752,1.1712567772045,-0.710699962127438
MC-PRC-001,45,0.539669043466525,1.11624235645375,-0.80254755347954
MC-PRC-001,46,0.550808870106298,1.05480350147921,-0.887435984297721
MC-PRC-001,47,0.561948696746071,0.98746743016069,-0.964780764752253
MC-PRC-001,48,0.573088523385843,0.920411298647071,-1.02919803758628
MC-PRC-001,49,0.585696536663201,0.849264850098859,-1.086444005513
MC-PRC-001,50,0.598304549940559,0.774517852212174,-1.13629651268471
MC-PRC-001,51,0.610912563217917,0.696672356040546,-1.17861214528968
MC-PRC-001,52,0.623520576495275,0.615498971114859,-1.21360448825078
MC-PRC-001,53,0.635937452607317,0.532214776033182,-1.24086523896657
MC-PRC-001,54,0.648354328719358,0.447341590923918,-1.2604779304287
MC-PRC-001,55,0.6607712048314,0.36139318935224,-1.27259562521382
MC-PRC-001,56,0.673188080943441,0.257297441341952,-1.27755258968368
MC-PRC-001,57,0.685756258226853,0.153210758163637,-1.2724698533149
MC-PRC-001,58,0.698324435510266,0.0499285577879918,-1.25793675544682
MC-PRC-001,59,0.710892612793678,-0.0518053723609739,-1.23462709430904
MC-PRC-001,60,0.72346079007709,-0.134691125751,-1.20910217646731
MC-PRC-001,61,0.735852697691129,-0.215670303714839,-1.17847141323564
MC-PRC-001,62,0.748244605305168,-0.294412285038655,-1.14319628045393
MC-PRC-001,63,0.760636512919208,-0.370617976462959,-1.10374417303165
MC-PRC-001,64,0.773028420533247,-0.44637958552914,-1.05910592871797
MC-PRC-001,65,0.78623813632188,-0.518891010220456,-1.01101217116133
MC-PRC-001,66,0.799447852110513,-0.58792732534444,-0.959949081738336
MC-PRC-001,67,0.812657567899146,-0.653296855585638,-0.906379126823584
MC-PRC-001,68,0.825867283687779,-0.72265775024384,-0.843268008027083
MC-PRC-001,69,0.840661930166088,-0.786929944335223,-0.778072094433434
MC-PRC-001,70,0.855456576644398,-0.845968603446802,-0.711300357510649
MC-PRC-001,71,0.870251223122708,-0.89966652181378,-0.643392773990181
MC-PRC-001,72,0.885045869601017,-0.947257668533314,-0.575762495850423
MC-PRC-001,73,0.899304946444333,-0.989549698625479,-0.507670020840798
MC-PRC-001,74,0.91356402328765,-1.0265151872735,-0.439330706107635
MC-PRC-001,75,0.927823100130966,-1.05814100366029,-0.370896170026455
MC-PRC-001,76,0.942082176974282,-1.0847112339252,-0.301625571831801
MC-PRC-001,77,0.956561632730711,-1.10580943065052,-0.232394498273875
MC-PRC-001,78,0.971041088487141,-1.12143872669838,-0.163198853407045
MC-PRC-001,79,0.98552054424357,-1.13160043106652,-0.0939984072865906
MC-PRC-001,80,1,-1.13626393681356,-0.0257002715988057
