case_id,point,parameter,period,residual_norm,state_0_min,state_0_max,state_1_min,state_1_max,state_2_min,state_2_max
MC-LC-002,0,-0.589286291695516,8.12533259714521,7.21750168479604e-09,0.00549855895064139,0.00570868572573027,-0.00109925199819877,-0.000900748001801232,0.0025737286335383,0.00283043139001626
MC-LC-002,1,-0.589284966666036,8.12535170313002,6.03683769639929e-16,0.00473224498969962,0.0064755931831103,-0.00182343903860516,-0.00017653172448268,0.0016373528019507,0.0037671172889125
MC-LC-002,2,-0.589282759299127,8.12541328900451,5.03069808033274e-16,0.00373654625560496,0.00747310389060047,-0.00276482236213907,0.000764956684102011,0.000420354403942162,0.00498506950398679
MC-LC-002,3,-0.589277491750551,8.12556032068137,1.02565525517129e-15,0.0024430844872046,0.00877089322397513,-0.00398847244495309,0.00198885774275451,-0.00116117415982207,0.00656887607262231
MC-LC-002,4,-0.58926660076712,8.12586461453435,4.14598910758457e-15,0.000763142307562591,0.0104597988753255,-0.00557886263662724,0.00357976776349944,-0.00321613966365336,0.00862855984379032
MC-LC-002,5,-0.589245641995266,8.12645133217433,2.11046458087338e-14,-0.00141823734039281,0.0126584888109302,-0.00764554080000967,0.00564744980214348,-0.00588573618466774,0.0113072681024508
MC-LC-002,6,-0.589207007607125,8.12753678559132,1.09728198749437e-13,-0.00424991284780894,0.0155222851277041,-0.0103303181241449,0.00833408983328003,-0.00935277611808121,0.0147912150089054
MC-LC-002,7,-0.589137862223524,8.12949234609036,5.80719500264948e-13,-0.00792450377303157,0.019255061657972,-0.0138162080403805,0.0118233537132923,-0.0138534631345511,0.0193225261133503
MC-LC-002,8,-0.589016976071351,8.13295194016016,3.08610428878531e-12,-0.0126910631406793,0.0241255657786441,-0.0183381546734022,0.0163513268293286,-0.0196919496899951,0.0252157135110204
MC-LC-002,9,-0.588810317260935,8.13899155737256,1.64518468293018e-11,-0.0188712905712133,0.0304904044750284,-0.0241950387522697,0.022218911190198,-0.0272576657249881,0.032878559318867
MC-LC-002,10,-0.588487954427264,8.14875296762836,6.1663969069814e-11,-0.0264240364801935,0.0383502765679265,-0.031331424395359,0.0293730883104609,-0.0364880095040317,0.042270432950886
