case_id,point,event_index,event_type,spectrum_kind,multiplier_index,real,imag
MC-EQ-002,0,-1,BRANCH,EIGENVALUE,0,-1,0
MC-EQ-002,0,-1,BRANCH,EIGENVALUE,1,-1,0
MC-EQ-002,1,-1,BRANCH,EIGENVALUE,0,-0.99,0.141067359796659
MC-EQ-002,1,-1,BRANCH,EIGENVALUE,1,-0.99,-0.141067359796659
MC-EQ-002,2,-1,BRANCH,EIGENVALUE,0,-0.977,0.213239302193569
MC-EQ-002,2,-1,BRANCH,EIGENVALUE,1,-0.977,-0.213239302193569
MC-EQ-002,3,-1,BRANCH,EIGENVALUE,0,-0.9601,0.279656914808128
MC-EQ-002,3,-1,BRANCH,EIGENVALUE,1,-0.9601,-0.279656914808128
MC-EQ-002,4,-1,BRANCH,EIGENVALUE,0,-0.93813,0.346283270026145
MC-EQ-002,4,-1,BRANCH,EIGENVALUE,1,-0.93813,-0.346283270026145
MC-EQ-002,5,-1,BRANCH,EIGENVALUE,0,-0.91313,0.407668496575343
MC-EQ-002,5,-1,BRANCH,EIGENVALUE,1,-0.91313,-0.407668496575343
MC-EQ-002,6,-1,BRANCH,EIGENVALUE,0,-0.88813,0.459592322716557
MC-EQ-002,6,-1,BRANCH,EIGENVALUE,1,-0.88813,-0.459592322716557
MC-EQ-002,7,-1,BRANCH,EIGENVALUE,0,-0.86313,0.504981784919021
MC-EQ-002,7,-1,BRANCH,EIGENVALUE,1,-0.86313,-0.504981784919021
MC-EQ-002,8,-1,BRANCH,EIGENVALUE,0,-0.83813,0.545470533667952
MC-EQ-002,8,-1,BRANCH,EIGENVALUE,1,-0.83813,-0.545470533667952
MC-EQ-002,9,-1,BRANCH,EIGENVALUE,0,-0.81313,0.582082127452819
MC-EQ-002,9,-1,BRANCH,EIGENVALUE,1,-0.81313,-0.582082127452819
MC-EQ-002,10,-1,BRANCH,EIGENVALUE,0,-0.78813,0.615508816427515
MC-EQ-002,10,-1,BRANCH,EIGENVALUE,1,-0.78813,-0.615508816427515
MC-EQ-002,11,-1,BRANCH,EIGENVALUE,0,-0.76313,0.646245002379129
MC-EQ-002,11,-1,BRANCH,EIGENVALUE,1,-0.76313,-0.646245002379129
MC-EQ-002,12,-1,BRANCH,EIGENVALUE,0,-0.73813,0.674658508506341
MC-EQ-002,12,-1,BRANCH,EIGENVALUE,1,-0.73813,-0.674658508506341
MC-EQ-002,13,-1,BRANCH,EIGENVALUE,0,-0.71313,0.70103181318682
MC-EQ-002,13,-1,BRANCH,EIGENVALUE,1,-0.71313,-0.70103181318682
MC-EQ-002,14,-1,BRANCH,EIGENVALUE,0,-0.68813,0.725587419336913
MC-EQ-002,14,-1,BRANCH,EIGENVALUE,1,-0.68813,-0.725587419336913
MC-EQ-002,15,-1,BRANCH,EIGENVALUE,0,-0.66313,0.748504243875745
MC-EQ-002,15,-1,BRANCH,EIGENVALUE,1,-0.66313,-0.748504243875745
MC-EQ-002,16,-1,BRANCH,EIGENVALUE,0,-0.63813,0.769928635069511
MC-EQ-002,16,-1,BRANCH,EIGENVALUE,1,-0.63813,-0.769928635069511
MC-EQ-002,17,-1,BRANCH,EIGENVALUE,0,-0.61313,0.789982027074035
MC-EQ-002,17,-1,BRANCH,EIGENVALUE,1,-0.61313,-0.789982027074035
MC-EQ-002,18,-1,BRANCH,EIGENVALUE,0,-0.58813,0.808766408241589
