case_id,point,parameter,period,residual_norm,state_0_min,state_0_max,state_1_min,state_1_max
MC-LC-001,0,1.00000000022127,6.28318530718693,5.32907051820075e-14,-0.999863194188483,1,-0.999993922892976,0.999730929090954
MC-LC-001,1,1.00195271643446,6.28318530718693,3.86357612569554e-14,-1.00083894264567,1.00097588193294,-1.00096979888976,1.00070654840147
MC-LC-001,2,1.00449398621188,6.28318530718693,4.70734562441066e-14,-1.00210736135413,1.00224447416114,-1.00223838340312,1.00197479924732
MC-LC-001,3,1.00780226441448,6.28318530718693,4.32986979603811e-14,-1.00375621383985,1.00389355221862,-1.00388745143371,1.00362343354464
MC-LC-001,4,1.01211084453447,6.28318530718693,6.40598685208715e-14,-1.00589956666015,1.0060371982696,-1.00603108445251,1.00576650276138
MC-LC-001,5,1.01772520747146,6.28318530718693,4.15223411209809e-14,-1.0086856622148,1.00882367499672,-1.00881754424125,1.00855222968695
MC-LC-001,6,1.02363851356151,6.28318530718694,4.08562073062058e-14,-1.01161180967498,1.01175022279134,-1.01174407424631,1.01147798999054
MC-LC-001,7,1.02956827978917,6.28318530718693,4.61852778244065e-14,-1.0145376274074,1.01467644081267,-1.01467027448005,1.0144034206091
MC-LC-001,8,1.0355144987271,6.28318530718693,4.77395900588817e-14,-1.0174631146076,1.01760232825616,-1.01759614413791,1.01732852073831
MC-LC-001,9,1.04147716293237,6.28318530718693,5.3179682879545e-14,-1.02038827047245,1.02052788431856,-1.02052168241665,1.02025328957511
MC-LC-001,10,1.04745626494658,6.28318530718693,6.57252030578093e-14,-1.02331309420006,1.02345310819787,-1.02344688851428,1.02317772631774
MC-LC-001,11,1.05345179729582,6.28318530718693,5.50670620214078e-14,-1.02623758498986,1.0263779990934,-1.02637176163012,1.02610183016571
MC-LC-001,12,1.0594637524908,6.28318530718693,4.34097202628436e-14,-1.02916174204255,1.02930255620575,-1.02929630096475,1.02902560031983
MC-LC-001,13,1.06549212302682,6.28318530718693,5.57331958361829e-14,-1.03208556456013,1.03222677873679,-1.03222050572008,1.03194903598219
MC-LC-001,14,1.07153690138387,6.28318530718693,5.10702591327572e-14,-1.03500905174588,1.0351506658897,-1.03514437509927,1.03487213635618
MC-LC-001,15,1.07759808002666,6.28318530718693,5.24025267623074e-14,-1.03793220280437,1.03807421686895,-1.0380679083068,1.03779490064647
MC-LC-001,16,1.08367565140467,6.28318530718693,4.35207425653061e-14,-1.04085501694147,1.04099743088029,-1.04099110454843,1.04071732805904
MC-LC-001,17,1.08976960795217,6.28318530718693,7.67719221528296e-14,-1.04377749336437,1.04392030713078,-1.04391396303122,1.04363941780115
MC-LC-001,18,1.09587994208833,6.28318530718693,5.01820807130571e-14,-1.04669963128151,1.04684284482878,-1.04683648296353,1.04656116908137
MC-LC-001,19,1.10200664621719,6.28318530718693,3.81916720471054e-14,-1.04962142990268,1.04976504318395,-1.04975866355503,1.04948258110957
MC-LC-001,20,1.10814971272777,6.28318530718693,6.01740879346835e-14,-1.05254288843892,1.05268690140723,-1.05268050401668,1.05240365309691
MC-LC-001,21,1.11430913399407,6.28318530718693,4.39648317751562e-14,-1.05546400610263,1.0556084187109,-1.05560200356074,1.05532438425587
MC-LC-001,22,1.12048490237516,6.28318530718693,6.48370246381091e-14,-1.05838478210747,1.05852959430852,-1.05852316140078,1.05824477380022
MC-LC-001,23,1.12667701021519,6.28318530718693,5.72875080706581e-14,-1.06130521566843,1.06145042741496,-1.06144397675169,1.06116482094504
MC-LC-001,24,1.13288544984347,6.28318530718693,5.96744875736022e-14,-1.0642253060018,1.0643709172464,-1.06436444882964,1.06408452490672
MC-LC-001,25,1.13911021357448,6.28318530718693,7.88258347483861e-14,-1.06714505232519,1.06729106302035,-1.06728457685215,1.06700388490297
MC-LC-001,26,1.14535129370794,6.28318530718693,4.81836792687318e-14,-1.07006445385749,1.07021086395559,-1.070204360038,1.06992290015279
MC-LC-001,27,1.15160868252888,6.28318530718693,4.88498130835069e-14,-1.07298350981896,1.07313031927226,-1.07312379760734,1.07284156987652
MC-LC-001,28,1.15788237230762,6.28318530718693,6.2005955925315e-14,-1.07590221943112,1.07604942819178,-1.0760428887816,1.07575989329579
MC-LC-001,29,1.1641723552999,6.28318530718693,5.6843418860808e-14,-1.07882058191684,1.07896818993691,-1.07896163278353,1.07867786963356
MC-LC-001,30,1.17047862374686,6.28318530718693,7.49955653134293e-14,-1.0817385965003,1.08188660373172,-1.08188002883722,1.08159549811411
MC-LC-001,31,1.17680116987513,6.28318530718693,5.97299987248334e-14,-1.08465626240699,1.08480466880159,-1.08479807616804,1.08451277796303
MC-LC-001,32,1.18313998589685,6.28318530718693,5.30686605770825e-14,-1.08757357886374,1.08772238437324,-1.08771577400273,1.08742970840725
MC-LC-001,33,1.18949506400972,6.28318530718693,4.84057238736568e-14,-1.09049054509868,1.09063974967471,-1.09063312156931,1.09034628867499
MC-LC-001,34,1.19586639639709,6.28318530718693,6.55031584528842e-14,-1.0934071603413,1.09355676393534,-1.09355011809716,1.09326251799583
MC-LC-001,35,1.20225397522794,6.28318530718693,5.01820807130571e-14,-1.09632342382237,1.09647342638584,-1.09646676281697,1.09617839560066
MC-LC-001,36,1.20865779265697,6.28318530718693,5.24025267623074e-14,-1.09923933477402,1.09938973625821,-1.09938305496075,1.09909392072169
MC-LC-001,37,1.21507784082465,6.28318530718693,6.3948846218409e-14,-1.10215489242972,1.10230569278581,-1.10229899376185,1.10200909259248
MC-LC-001,38,1.22151411185724,6.28318530718693,6.12843109593086e-14,-1.10507009602423,1.10522129520329,-1.10521457845496,1.1049239104479
MC-LC-001,39,1.22796659786686,6.28318530718693,7.32747196252603e-14,-1.10798494479367,1.10813654274668,-1.10812980827609,1.10783837352417
MC-LC-001,40,1.23443529095155,6.28318530718693,6.68354260824344e-14,-1.11089943797549,1.11105143465332,-1.11104468246258,1.11075248105882
MC-LC-001,41,1.24092018319526,6.28318530718693,5.83977310952832e-14,-1.11381357480848,1.11396597016187,-1.11395920025311,1.11366623229074
MC-LC-001,42,1.24742126666797,6.28318530718693,5.26245713672324e-14,-1.11672735453276,1.11688014851237,-1.11687336088771,1.11657962646015
MC-LC-001,43,1.25393853342568,6.28318530718693,5.42899059041702e-14,-1.11964077638979,1.11979396894615,-1.11978716360773,1.11949266280859
MC-LC-001,44,1.2604719755105,6.28318530718693,5.24025267623074e-14,-1.12255383962236,1.12270743070591,-1.12270060765588,1.12240534057897
MC-LC-001,45,1.26702158495068,6.28318530718693,5.86197757002083e-14,-1.12546654347462,1.12562053303569,-1.12561369227618,1.12531765901551
MC-LC-001,46,1.27358735376064,6.28318530718693,6.08402217494586e-14,-1.12837888719205,1.12853327518087,-1.12852641671402,1.1282296173638
MC-LC-001,47,1.28016927394105,6.28318530718693,6.21724893790088e-14,-1.13129087002147,1.13144565638816,-1.13143878021612,1.13114121487076
MC-LC-001,48,1.28676733747886,6.28318530718693,5.32907051820075e-14,-1.13420249121106,1.13435767590563,-1.13435078203057,1.13405245078465
MC-LC-001,49,1.29338153634733,6.28318530718693,6.03961325396085e-14,-1.13711375001034,1.1372693329827,-1.13726242140676,1.13696332435509
MC-LC-001,50,1.30001186250613,6.28318530718693,6.70574706873595e-14,-1.14002464567017,1.14018062687012,-1.14017369759548,1.13987383483303
MC-LC-001,51,1.30665830790134,6.28318530718693,7.19424519957101e-14,-1.14293517744277,1.14309155682001,-1.14308460984883,1.14278398147079
MC-LC-001,52,1.3133208644655,6.28318530718693,4.70734562441066e-14,-1.14584534458171,1.14600212208583,-1.14599515742029,1.14569376352203
MC-LC-001,53,1.3199995241177,6.28318530718693,4.9293902293357e-14,-1.14875514634191,1.1489123219224,-1.14890533956467,1.14860318024175
MC-LC-001,54,1.32669427876359,6.28318530718693,5.41788836017076e-14,-1.15166458197963,1.15182215558587,-1.15181515553815,1.15151223088633
MC-LC-001,55,1.33340512029541,6.28318530718693,7.105427357601e-14,-1.15457365075251,1.15473162233378,-1.15472460459824,1.15442091471348
MC-LC-001,56,1.3401320405921,6.28318530718693,5.42899059041702e-14,-1.15748235191953,1.15764072142501,-1.15763368600384,1.15732923098228
MC-LC-001,57,1.34687503151929,6.28318530718693,7.72715225139109e-14,-1.16039068474102,1.16054945211978,-1.16054239901518,1.16023717895317
MC-LC-001,58,1.35363408492939,6.28318530718693,5.32907051820075e-14,-1.16329864847869,1.16345781367969,-1.16345074289387,1.16314475788792
MC-LC-001,59,1.36040919266161,6.28318530718693,4.79616346638068e-14,-1.16620624239559,1.16636580536771,-1.16635871690286,1.1660519670497
MC-LC-001,60,1.36720034654199,6.28318530718693,4.61852778244065e-14,-1.16911346575615,1.16927342644814,-1.16926632030648,1.16895880570301
MC-LC-001,61,1.37400753838352,6.28318530718693,7.01660951563099e-14,-1.17202031782614,1.17218067618666,-1.1721735523704,1.17186527311372
MC-LC-001,62,1.38083075998611,6.28318530718693,6.26165785888588e-14,-1.17492679787271,1.17508755385031,-1.17508041236167,1.17477136854908
MC-LC-001,63,1.38767000313668,6.28318530718693,6.52811138479592e-14,-1.17783290516437,1.17799405870751,-1.1779868995487,1.17767709127768
MC-LC-001,64,1.3945252596092,6.28318530718693,5.50670620214078e-14,-1.18073863897099,1.18090019002801,-1.18089301320127,1.18058244056949
MC-LC-001,65,1.40139652116473,6.28318530718693,5.90638649100583e-14,-1.18364399856382,1.18380594708297,-1.18379875259052,1.18348741569584
MC-LC-001,66,1.40828377955147,6.28318530718693,5.6399329650958e-14,-1.18654898321545,1.18671132914488,-1.18670411698897,1.18639201592943
MC-LC-001,67,1.41518702650483,6.28318530718693,6.08402217494586e-14,-1.18945359219988,1.18961633548763,-1.18960910567048,1.18929624054433
MC-LC-001,68,1.42210625374743,6.28318530718693,6.88338275267597e-14,-1.19235782479245,1.19252096538645,-1.19251371791033,1.19220008881597
MC-LC-001,69,1.42904145298921,6.28318530718693,7.99360577730113e-14,-1.19526168026989,1.19542521811798,-1.19541795298512,1.19510356002118
MC-LC-001,70,1.43599261592741,6.28318530718693,5.95079541199084e-14,-1.19816515791027,1.1983290929602,-1.19832181017286,1.19800665343813
MC-LC-001,71,1.4429597342467,6.28318530718693,5.06261699229071e-14,-1.20106825699308,1.20123258919247,-1.20122528875291,1.20090936834638
MC-LC-001,72,1.44994279961913,6.28318530718693,7.57172102794357e-14,-1.20397097679915,1.20413570609554,-1.20412838800601,1.20381170402685
MC-LC-001,73,1.45694180370426,6.28318530718693,4.88498130835069e-14,-1.20687331661069,1.20703844295152,-1.2070311072143,1.20671365976186
MC-LC-001,74,1.46395673814917,6.28318530718693,7.54951656745106e-14,-1.20977527571131,1.2099407990439,-1.20993344566125,1.20961523483509
MC-LC-001,75,1.47098759458851,6.28318530718693,6.03961325396085e-14,-1.21267685338597,1.21284277365756,-1.21283540263176,1.2125164285316
MC-LC-001,76,1.47803436464456,6.28318530718693,6.43929354282591e-14,-1.21557804892103,1.21574436607874,-1.21573697741207,1.21541724013782
MC-LC-001,77,1.48509703992727,6.28318530718693,5.95079541199084e-14,-1.2184788616042,1.21864557559508,-1.21863816928982,1.21831766894158
MC-LC-001,78,1.49217561203431,6.28318530718693,5.32351940307763e-14,-1.22137929072461,1.22154640149558,-1.22153897755402,1.22121771423208
MC-LC-001,79,1.49927007255111,6.28318530718693,6.66133814775094e-14,-1.22427933557275,1.22444684307064,-1.22443940149507,1.22411737529989
